kabupaten_kota,luas_panen_jahe (m²),luas_panen_kapulaga (m²),luas_panen_keji_beling (m²),luas_panen_kencur (m²),luas_panen_kunyit (m²),luas_panen_laos/lengkuas (m²),luas_panen_lempuyang (m²),luas_panen_lidah_buaya (m²),luas_panen_mahkota_dewa (pohon),luas_panen_mengkudu/pace (pohon),luas_panen_sambiloto (m²),luas_panen_temuireng (m²),luas_panen_temukunci (m²),luas_panen_temulawak (m²),luas_panen_jeruk_nipis (pohon),luas_panen_serai (m²),tahun
Mojokerto,262291.0,10000.0,0.0,13135.0,230258.0,35316.0,3879.0,40.0,2.0,213.0,0.0,4686.0,5564.0,35027.0,1200.0,336912.0,2023
Jombang,81374.0,16651.0,0.0,13542.0,33818.0,24640.0,8362.0,1179.0,220.0,1513.0,0.0,1253.0,3743.0,16990.0,4398.0,26662.0,2023
Nganjuk,44746.0,2655.0,0.0,17936.0,325113.0,61285.0,3250.0,0.0,0.0,314.0,0.0,4849.0,3131.0,17168.0,4794.0,4125.0,2023
Madiun,113969.0,3000.0,0.0,4842.0,766700.0,10907.0,469.0,0.0,0.0,0.0,0.0,429.0,977.0,513.0,646.0,591.0,2023
Magetan,2410052.0,5200.0,0.0,18666.0,3257690.0,27388.0,17374.0,0.0,0.0,112.0,0.0,9750.0,0.0,18312.0,1240.0,0.0,2023
Ngawi,91036.0,0.0,0.0,5325.0,76392.0,77536.0,12710.0,440.0,180.0,1673.0,30.0,11219.0,510.0,3364.0,1154.0,3917.0,2023
Bojonegoro,68003.0,876.0,0.0,72278.0,364639.0,72192.0,70925.0,0.0,6061.0,2968.0,1500.0,32572.0,52203.0,57210.0,1527.0,17001.0,2023
Tuban,12702.0,0.0,0.0,6183.0,15940.0,9583.0,2634.0,340.0,121.0,1632.0,161.0,1669.0,841.0,4019.0,4207.0,1543.0,2023
Lamongan,835.0,0.0,0.0,840.0,15356.0,1914.0,118.0,62.0,0.0,868.0,26.0,372.0,102.0,377.0,2120.0,0.0,2023
Gresik,585.0,0.0,0.0,600.0,4557456.0,510.0,0.0,0.0,0.0,30.0,0.0,8080.0,400.0,765950.0,347192.0,5750.0,2023
Bangkalan,1461.0,225.0,0.0,4043.0,8938.0,4937.0,1807.0,132.0,3.0,5583.0,64.0,4139.0,1129.0,12689.0,591.0,1755.0,2023
Sampang,10742.0,0.0,0.0,8031.0,12121.0,8523.0,6243.0,20.0,0.0,1569.0,0.0,9411.0,3384.0,7811.0,29.0,735.0,2023
Pamekasan,439418.0,0.0,0.0,178357.0,343600.0,214529.0,1500.0,2500.0,9.0,30395.0,0.0,126167.0,72499.0,159516.0,14.0,43042.0,2023
Sumenep,88535.0,0.0,0.0,49805.0,77574.0,124147.0,17600.0,58.0,30.0,21989.0,200.0,38240.0,12627.0,54430.0,0.0,0.0,2023
